ORIGIN_ORGANISATION_NUMBER,BUSINESS_ORGANISATION_NUMBER,ATTRIBUTES,CREATED_TIMESTAMP,LOADED_TIMESTAMP
17,14012,,2021-02-22 18:02:23.603,2021-03-04 14:09:50.411
17,2018402,,2021-02-22 18:02:23.603,2021-03-04 14:09:50.411
17,1002138,,2021-02-22 18:02:23.603,2021-03-04 14:09:50.411
17,46305,,2021-02-22 18:02:23.603,2021-03-04 14:09:50.411
17,3162,,2021-02-22 18:02:23.603,2021-03-04 14:09:50.411
17,11298,,2021-02-22 18:02:23.603,2021-03-04 14:09:50.411
17,1000813,,2021-02-22 18:02:23.603,2021-03-04 14:09:50.411
17,22184,,2021-02-22 18:02:23.603,2021-03-04 14:09:50.411
17,2016620,,2021-02-22 18:02:23.603,2021-03-04 14:09:50.411
17,40113,,2021-02-22 18:02:23.603,2021-03-04 14:09:50.411
